smiles,gas,dsrate,loss,td
C#Cc1ccc2c(c1)C(=O)N(c1ccc(OP3(Oc4ccccc4)=NP(Oc4ccccc4)(Oc4ccc(N5C(=O)c6ccc(C#C)cc6C5=O)cc4)=NP(Oc4ccccc4)(Oc4ccc(N5C(=O)c6ccc(C#C)cc6C5=O)cc4)=N3)cc1)C2=O,N2,10,10,500
O=C1c2ccc(C#Cc3ccccc3)cc2C(=O)N1c1ccc2c(c1)-c1ccccc1-2,N2,10,5,587
O=C1c2ccc(C#Cc3ccccc3)cc2C(=O)N1c1ccc2c(c1)-c1ccccc1-2,N2,10,10,614
O=C1c2ccc(C#Cc3ccccc3)cc2C(=O)N1c1ccc(Oc2ccc(C(c3ccc(Oc4ccc(N5C(=O)c6ccc(C(c7ccccc7)(c7ccc8c(c7)C(=O)N(c7ccc(Oc9ccc(C(c%10ccc(Oc%11ccc(N%12C(=O)c%13ccc(C#Cc%14ccccc%14)cc%13C%12=O)cc%11)cc%10)(C(F)(F)F)C(F)(F)F)cc9)cc7)C8=O)C(F)(F)F)cc6C5=O)cc4)cc3)(C(F)(F)F)C(F)(F)F)cc2)cc1,air,10,0,508
O=C1c2ccc(C#Cc3ccccc3)cc2C(=O)N1c1ccc(Oc2ccc(C(c3ccc(Oc4ccc(N5C(=O)c6ccc(C(c7ccccc7)(c7ccc8c(c7)C(=O)N(c7ccc(Oc9ccc(C(c%10ccc(Oc%11ccc(N%12C(=O)c%13ccc(C#Cc%14ccccc%14)cc%13C%12=O)cc%11)cc%10)(C(F)(F)F)C(F)(F)F)cc9)cc7)C8=O)C(F)(F)F)cc6C5=O)cc4)cc3)(C(F)(F)F)C(F)(F)F)cc2)cc1,air,10,5,526
O=C1c2ccc(C#Cc3ccccc3)cc2C(=O)N1c1ccc(Oc2ccc(C(c3ccc(Oc4ccc(N5C(=O)c6ccc(C(c7ccccc7)(c7ccc8c(c7)C(=O)N(c7ccc(Oc9ccc(C(c%10ccc(Oc%11ccc(N%12C(=O)c%13ccc(C#Cc%14ccccc%14)cc%13C%12=O)cc%11)cc%10)(C(F)(F)F)C(F)(F)F)cc9)cc7)C8=O)C(F)(F)F)cc6C5=O)cc4)cc3)(C(F)(F)F)C(F)(F)F)cc2)cc1,air,10,10,544
C#Cc1cccc(-c2cc(-c3cccc(C#C)c3)cc(-c3cccc(C#C)c3)c2)c1,N2,10,10,686
O=C1C=CC(=O)N1c1ccc2c(c1)CN(c1ccccc1)CO2,Ar,5,5,349
O=C1C=CC(=O)N1c1ccc2c(c1)CN(c1ccccc1)CO2,Ar,5,10,376
O=C1C=CC(=O)N1c1ccc2c(c1)CN(c1ccccc1)CO2,N2,10,5,375
O=C1C=CC(=O)N1c1ccc2c(c1)CN(c1ccccc1)CO2,N2,10,10,392
